T21,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
14,Eastern Africa,1995,Balance imports/exports (millions of US dollars),,,"-8,481",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2005,Balance imports/exports (millions of US dollars),,,"-14,945",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2010,Balance imports/exports (millions of US dollars),,,"-31,036",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2015,Balance imports/exports (millions of US dollars),,,"-53,818",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2022,Balance imports/exports (millions of US dollars),,,"-65,921",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2023,Balance imports/exports (millions of US dollars),,,"-60,223",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
14,Eastern Africa,2024,Balance imports/exports (millions of US dollars),,,"-38,634",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,1995,Imports CIF (millions of US dollars),,,"5,412",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2005,Imports CIF (millions of US dollars),,,"18,680",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2010,Imports CIF (millions of US dollars),,,"43,623",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2015,Imports CIF (millions of US dollars),,,"55,655",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2022,Imports CIF (millions of US dollars),,,"48,465",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2023,Imports CIF (millions of US dollars),,,"63,692",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2024,Imports CIF (millions of US dollars),,,"54,603",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,1995,Exports FOB (millions of US dollars),,,"10,954",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2005,Exports FOB (millions of US dollars),,,"48,958",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2010,Exports FOB (millions of US dollars),,,"90,717",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2015,Exports FOB (millions of US dollars),,,"74,834",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2022,Exports FOB (millions of US dollars),,,"104,652",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2023,Exports FOB (millions of US dollars),,,"101,693",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2024,Exports FOB (millions of US dollars),,,"111,693",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,1995,Balance imports/exports (millions of US dollars),,,"5,542",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2005,Balance imports/exports (millions of US dollars),,,"30,278",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2010,Balance imports/exports (millions of US dollars),,,"47,094",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
