country_code,country_name,year,balance_usd_m,exports_usd_m,imports_usd_m
174,Comoros,2010,-167.0,14.0,181.0
174,Comoros,2015,-198.0,16.0,214.0
174,Comoros,2022,-345.0,50.0,395.0
174,Comoros,2023,-306.0,49.0,355.0
174,Comoros,2024,-460.0,20.0,480.0
178,Congo,1995,534.0,1090.0,556.0
178,Congo,2005,3402.0,4744.0,1342.0
178,Congo,2010,2548.0,6918.0,4369.0
178,Congo,2015,-1927.0,8623.0,10550.0
178,Congo,2022,5238.0,8870.0,3632.0
178,Congo,2023,2099.0,8012.0,5913.0
178,Congo,2024,3467.0,8363.0,4896.0
184,Cook Islands,1995,-44.0,5.0,49.0
184,Cook Islands,2005,-76.0,5.0,81.0
184,Cook Islands,2010,-85.0,5.0,91.0
184,Cook Islands,2015,-95.0,14.0,109.0
184,Cook Islands,2022,-42.0,1.0,42.0
188,Costa Rica,1995,-504.0,2702.0,3205.0
188,Costa Rica,2005,-2023.0,7151.0,9173.0
188,Costa Rica,2010,-4875.0,9045.0,13920.0
188,Costa Rica,2015,-5926.0,9578.0,15504.0
188,Costa Rica,2022,-5821.0,15320.0,21140.0
188,Costa Rica,2023,-4406.0,18106.0,22512.0
188,Costa Rica,2024,-3309.0,20509.0,23818.0
191,Croatia,1995,-2877.0,4633.0,7509.0
191,Croatia,2005,-9788.0,8773.0,18560.0
191,Croatia,2010,-8256.0,11811.0,20067.0
191,Croatia,2015,-7737.0,12844.0,20580.0
191,Croatia,2022,-18732.0,25383.0,44115.0
191,Croatia,2023,-17882.0,24670.0,42553.0
191,Croatia,2024,-19424.0,26063.0,45487.0
192,Cuba,1995,-1384.0,1491.0,2874.0
192,Cuba,2005,-5766.0,2319.0,8084.0
192,Cuba,2010,-6574.0,4914.0,11488.0
192,Cuba,2015,-7100.0,1318.0,8418.0
192,Cuba,2022,-7663.0,2170.0,9833.0
192,Cuba,2023,-8464.0,2102.0,10566.0
192,Cuba,2024,-6289.0,777.0,7067.0
196,Cyprus,1995,-2463.0,1231.0,3694.0
196,Cyprus,2005,-4836.0,1546.0,6382.0
196,Cyprus,2010,-7138.0,1506.0,8645.0
196,Cyprus,2015,-3780.0,3359.0,7139.0
196,Cyprus,2022,-7477.0,4411.0,11889.0
196,Cyprus,2023,-8934.0,5067.0,14001.0
196,Cyprus,2024,-8926.0,4496.0,13422.0
203,Czechia,1995,-3618.0,21686.0,25303.0
203,Czechia,2005,1681.0,78209.0,76527.0
203,Czechia,2010,6450.0,132141.0,125691.0
203,Czechia,2015,16478.0,157194.0,140716.0
203,Czechia,2022,5369.0,241689.0,236320.0
203,Czechia,2023,24414.0,253328.0,228913.0
203,Czechia,2024,29895.0,259292.0,229397.0
384,Côte dIvoire,1995,1264.0,3736.0,2472.0
384,Côte dIvoire,2005,1383.0,7248.0,5865.0
384,Côte dIvoire,2010,2434.0,10284.0,7849.0
384,Côte dIvoire,2015,2154.0,12560.0,10406.0
384,Côte dIvoire,2022,-1460.0,16429.0,17889.0
384,Côte dIvoire,2023,-492.0,18350.0,18842.0
384,Côte dIvoire,2024,694.0,20924.0,20230.0
408,Dem. People's Rep. Korea,1995,-1382.0,1739.0,3122.0
408,Dem. People's Rep. Korea,2005,-679.0,787.0,1466.0
408,Dem. People's Rep. Korea,2010,-1075.0,882.0,1957.0
408,Dem. People's Rep. Korea,2015,-629.0,3084.0,3714.0
408,Dem. People's Rep. Korea,2022,-1463.0,301.0,1763.0
408,Dem. People's Rep. Korea,2023,-2284.0,366.0,2651.0
408,Dem. People's Rep. Korea,2024,-1356.0,412.0,1768.0
180,Dem. Rep. of the Congo,1995,693.0,1562.0,869.0
180,Dem. Rep. of the Congo,2005,-78.0,2190.0,2268.0
180,Dem. Rep. of the Congo,2010,800.0,5300.0,4500.0
180,Dem. Rep. of the Congo,2015,617.0,8685.0,8068.0
180,Dem. Rep. of the Congo,2022,4266.0,15672.0,11407.0
180,Dem. Rep. of the Congo,2023,2198.0,27727.0,25529.0
180,Dem. Rep. of the Congo,2024,14536.0,36799.0,22263.0
208,Denmark,1995,5648.0,48789.0,43142.0
208,Denmark,2005,9562.0,82278.0,72716.0
208,Denmark,2010,13492.0,96217.0,82724.0
208,Denmark,2015,9291.0,94619.0,85327.0
208,Denmark,2022,2733.0,129811.0,127078.0
208,Denmark,2023,8389.0,128600.0,120211.0
208,Denmark,2024,10486.0,133702.0,123216.0
262,Djibouti,1995,-163.0,13.0,176.0
262,Djibouti,2005,-238.0,39.0,277.0
262,Djibouti,2010,-133.0,470.0,603.0
262,Djibouti,2015,-773.0,251.0,1024.0
262,Djibouti,2022,-483.0,4608.0,5091.0
262,Djibouti,2023,-510.0,4785.0,5295.0
262,Djibouti,2024,-459.0,4083.0,4542.0
212,Dominica,1995,-72.0,45.0,117.0
212,Dominica,2005,-124.0,42.0,165.0
212,Dominica,2010,-190.0,34.0,225.0
212,Dominica,2015,-191.0,10.0,201.0
212,Dominica,2022,-244.0,22.0,267.0
212,Dominica,2023,-279.0,22.0,301.0
212,Dominica,2024,-253.0,3.0,256.0
214,Dominican Republic,1995,-2283.0,872.0,3155.0
214,Dominican Republic,2005,-621.0,6183.0,6804.0
214,Dominican Republic,2010,-10371.0,4767.0,15138.0
214,Dominican Republic,2015,-9298.0,9389.0,18687.0
214,Dominican Republic,2022,-20119.0,9836.0,29955.0
214,Dominican Republic,2023,-19409.0,11932.0,31341.0
214,Dominican Republic,2024,-19769.0,12924.0,32693.0
14,Eastern Africa,1995,-8481.0,9499.0,17980.0
14,Eastern Africa,2005,-14945.0,16297.0,31243.0
14,Eastern Africa,2010,-31036.0,31652.0,62688.0
14,Eastern Africa,2015,-53818.0,39711.0,93529.0
14,Eastern Africa,2022,-65921.0,63229.0,129150.0
14,Eastern Africa,2023,-60223.0,65358.0,125581.0
14,Eastern Africa,2024,-38634.0,68698.0,107332.0
30,Eastern Asia,1995,90528.0,894718.0,804190.0
30,Eastern Asia,2005,193379.0,1937757.0,1744378.0
30,Eastern Asia,2010,251847.0,3219271.0,2967424.0
30,Eastern Asia,2015,625702.0,3944740.0,3319038.0
30,Eastern Asia,2022,605805.0,5648188.0,5042383.0
30,Eastern Asia,2023,685798.0,5320872.0,4635074.0
30,Eastern Asia,2024,935544.0,5624617.0,4689072.0
151,Eastern Europe,1995,15036.0,176871.0,161835.0
151,Eastern Europe,2005,103628.0,594285.0,490657.0
151,Eastern Europe,2010,125955.0,994605.0,868649.0
151,Eastern Europe,2015,176030.0,1024008.0,847978.0
151,Eastern Europe,2022,251248.0,1687913.0,1436665.0
151,Eastern Europe,2023,150810.0,1586274.0,1435463.0
151,Eastern Europe,2024,119604.0,1589295.0,1469692.0
218,Ecuador,1995,166.0,4361.0,4195.0
218,Ecuador,2005,261.0,9869.0,9609.0
218,Ecuador,2010,-3101.0,17490.0,20591.0
218,Ecuador,2015,-3057.0,18331.0,21387.0
218,Ecuador,2022,2331.0,35380.0,33049.0
218,Ecuador,2023,231.0,31126.0,30896.0
218,Ecuador,2024,2068.0,31558.0,29490.0
818,Egypt,1995,-8295.0,3444.0,11739.0
818,Egypt,2005,-9166.0,10646.0,19812.0
818,Egypt,2010,-26672.0,26332.0,53003.0
818,Egypt,2015,-52139.0,21859.0,73998.0
818,Egypt,2022,-44073.0,52116.0,96189.0
818,Egypt,2023,-41664.0,42553.0,84218.0
818,Egypt,2024,-49851.0,44847.0,94698.0
222,El Salvador,1995,-1642.0,985.0,2628.0
222,El Salvador,2005,-3373.0,3436.0,6809.0
222,El Salvador,2010,-3917.0,4499.0,8416.0
222,El Salvador,2015,-4784.0,5509.0,10293.0
222,El Salvador,2022,-9993.0,7115.0,17108.0
222,El Salvador,2023,-9150.0,6498.0,15648.0
222,El Salvador,2024,-9525.0,6447.0,15973.0
226,Equatorial Guinea,1995,36.0,86.0,50.0
226,Equatorial Guinea,2005,5753.0,7062.0,1309.0
226,Equatorial Guinea,2010,4285.0,9964.0,5679.0
226,Equatorial Guinea,2015,4734.0,6566.0,1832.0
226,Equatorial Guinea,2022,6568.0,7591.0,1023.0
226,Equatorial Guinea,2023,3615.0,4738.0,1123.0
226,Equatorial Guinea,2024,3235.0,4306.0,1071.0
232,Eritrea,1995,-359.0,73.0,432.0
232,Eritrea,2005,-493.0,11.0,503.0
232,Eritrea,2010,-1175.0,13.0,1187.0
232,Eritrea,2015,-32.0,415.0,447.0
232,Eritrea,2022,77.0,586.0,508.0
232,Eritrea,2023,-11.0,475.0,487.0
232,Eritrea,2024,37.0,560.0,523.0
233,Estonia,1995,-706.0,1840.0,2546.0
233,Estonia,2005,-2770.0,8247.0,11018.0
233,Estonia,2010,-385.0,12811.0,13197.0
233,Estonia,2015,-1824.0,13908.0,15732.0
233,Estonia,2022,-3936.0,23600.0,27536.0
233,Estonia,2023,-3329.0,20108.0,23437.0
233,Estonia,2024,-2899.0,19773.0,22672.0
748,Eswatini,2005,-378.0,1278.0,1656.0
748,Eswatini,2010,-153.0,1557.0,1710.0
748,Eswatini,2015,312.0,1820.0,1508.0
