country_code,country_name,is_aggregate,is_historical,plotly_name,is_mappable
470,Malta,False,False,Malta,True
584,Marshall Islands,False,False,Marshall Islands,True
474,Martinique,False,False,Martinique,True
478,Mauritania,False,False,Mauritania,True
480,Mauritius,False,False,Mauritius,True
175,Mayotte,False,False,Mayotte,True
54,Melanesia,True,False,Melanesia,False
484,Mexico,False,False,Mexico,True
57,Micronesia,True,False,Micronesia,False
583,Micronesia (Fed. States of),False,False,Micronesia,True
17,Middle Africa,True,False,Middle Africa,False
496,Mongolia,False,False,Mongolia,True
499,Montenegro,False,False,Montenegro,True
500,Montserrat,False,False,Montserrat,True
504,Morocco,False,False,Morocco,True
508,Mozambique,False,False,Mozambique,True
104,Myanmar,False,False,Myanmar,True
516,Namibia,False,False,Namibia,True
524,Nepal,False,False,Nepal,True
528,Netherlands (Kingdom of the),False,False,Netherlands,True
530,Netherlands Antilles [former],False,True,Netherlands Antilles [former],False
540,New Caledonia,False,False,New Caledonia,True
554,New Zealand,False,False,New Zealand,True
558,Nicaragua,False,False,Nicaragua,True
562,Niger,False,False,Niger,True
566,Nigeria,False,False,Nigeria,True
807,North Macedonia,False,False,North Macedonia,True
15,Northern Africa,True,False,Northern Africa,False
21,Northern America,True,False,Northern America,False
154,Northern Europe,True,False,Northern Europe,False
580,Northern Mariana Islands,False,False,Northern Mariana Islands,True
578,Norway,False,False,Norway,True
9,Oceania,True,False,Oceania,False
512,Oman,False,False,Oman,True
158,Other non-specified areas,True,False,Other non-specified areas,False
586,Pakistan,False,False,Pakistan,True
585,Palau,False,False,Palau,True
591,Panama,False,False,Panama,True
598,Papua New Guinea,False,False,Papua New Guinea,True
600,Paraguay,False,False,Paraguay,True
604,Peru,False,False,Peru,True
608,Philippines,False,False,Philippines,True
616,Poland,False,False,Poland,True
61,Polynesia,True,False,Polynesia,False
620,Portugal,False,False,Portugal,True
634,Qatar,False,False,Qatar,True
410,Republic of Korea,False,False,South Korea,True
498,Republic of Moldova,False,False,Moldova,True
